FAENA,CONDUCTOR,VEHICULO,FECHA,HORA,TURNO,TIPO,Detected type,Duration (sec),VELOCIDAD,Distance covered (metres),SUB TIPO,LATITUD ,LONGITUD
VAR,,1670 - LRTK87,1/2/2020,21:02:30,Noche,Distracción,Fatiga,"2,92",18.00,14.00,conducción distraída,-33.364444,-70.490278
VAR,,1240 - GWKL16,1/2/2020,15:22:03,Día,Distracción,Distracción,"3,07",80.00,69.00,conducción distraída,-33.337000,-70.713588
VAR,,1240 - GWKL16,1/2/2020,15:22:15,Día,Distracción,Distracción,"3,09",80.00,69.00,conducción distraída,-33.339272,-70.712560
VAR,,1240 - GWKL16,1/2/2020,20:36:00,Noche,Distracción,Distracción,"3,18",80.00,71.00,conducción distraída,-33.373190,-70.724736
VAR,,1657 - LLWZ34,1/2/2020,02:50:36,Noche,Distracción,Distracción,"5,53",81.00,124.00,conducción distraída,-33.379510,-70.648761
VAR,,1671- LRTK88,1/2/2020,06:30:37,Noche,Distracción,Distracción,"3,18",90.00,80.00,conducción distraída,-34.101393,-70.720365
VAR,,1650- LLWZ31,1/3/2020,21:40:25,Noche,Distracción,Distracción,"3,63",39.00,39.00,conducción distraída,-33.319670,-70.361245
VAR,,1656 - LLWZ30,1/3/2020,13:54:36,Día,Distracción,Distracción,"3,04",61.00,52.00,conducción distraída,-33.331711,-70.821155
VAR,,1671- LRTK88,1/3/2020,04:22:24,Noche,Distracción,Distracción,"3,17",70.00,62.00,conducción distraída,-33.381099,-70.583985
VAR,,1560 - KVWX89(M DE F),1/3/2020,14:01:55,Día,Distracción,Fatiga,"1,53",85.00,36.00,conducción distraída,-33.621667,-71.413611
VAR,,1650- LLWZ31,1/3/2020,02:04:51,Noche,Distracción,Distracción,"3,78",90.00,94.00,conducción distraída,-33.666260,-71.242456
VAR,,1670 - LRTK87,1/3/2020,03:21:16,Noche,Distracción,Ojos cerrados,"3,65",90.00,91.00,conducción distraída,-33.569722,-71.524444
VAR,,1650- LLWZ31,1/3/2020,03:35:28,Noche,Distracción,Distracción,"4,02",90.00,101.00,conducción distraída,-33.613458,-71.440291
VAR,,1650- LLWZ31,1/3/2020,03:54:28,Noche,Distracción,Distracción,"3,04",90.00,76.00,conducción distraída,-33.669845,-71.156600
VAR,,1650- LLWZ31,1/3/2020,04:13:34,Noche,Distracción,Distracción,"3,15",90.00,79.00,conducción distraída,-33.646315,-70.877961
VAR,,1651 - LPBX91,1/3/2020,01:33:58,Noche,Distracción,Distracción,"3,54",91.00,89.00,conducción distraída,-33.495415,-70.776941
VAR,,1650- LLWZ31,1/3/2020,01:45:16,Noche,Distracción,Distracción,"3,02",91.00,76.00,conducción distraída,-33.686409,-70.946254
VAR,,1650- LLWZ31,1/3/2020,01:45:21,Noche,Distracción,Distracción,"4,52",91.00,114.00,conducción distraída,-33.686909,-70.947164
VAR,,1650- LLWZ31,1/3/2020,03:35:45,Noche,Distracción,Distracción,"3,07",91.00,78.00,conducción distraída,-33.615612,-71.436157
VAR,,1653- LLWZ29,1/4/2020,03:39:47,Noche,Distracción,Distracción,"4,22",36.00,42.00,conducción distraída,-33.371028,-70.458334
